scenario,product,day,mean,p5,p25,median,p75,p95
town_only,CARROT,4,35.38,35.00,35.00,35.00,36.00,37.00
town_only,CARROT,5,35.63,35.00,35.00,35.00,37.00,38.00
town_only,CARROT,6,36.56,36.00,36.00,36.00,37.00,39.00
town_only,CARROT,7,37.04,36.00,36.00,36.00,38.00,40.00
town_only,CARROT,8,37.32,36.00,36.00,36.00,38.00,41.00
town_only,CARROT,9,38.03,36.00,36.00,37.00,40.00,43.00
town_only,CARROT,10,38.61,36.00,36.00,38.00,41.00,44.00
town_only,CARROT,11,39.17,36.00,36.00,39.00,42.00,46.00
town_only,CARROT,12,39.89,36.00,36.00,39.00,43.00,48.00
town_only,CARROT,13,40.64,36.00,36.00,40.00,44.00,50.00
town_only,CARROT,14,41.45,36.00,36.00,40.00,45.00,52.00
town_only,CARROT,15,42.40,36.00,37.00,41.00,46.00,54.00
town_only,CARROT,16,43.31,36.00,37.00,42.00,48.00,56.00
town_only,CARROT,17,44.25,36.00,38.00,43.00,49.00,59.00
town_only,CARROT,18,45.40,36.00,38.00,44.00,51.00,61.00
town_only,CARROT,19,46.70,37.00,39.00,45.00,52.00,63.00
town_only,CARROT,20,47.95,37.00,39.00,46.00,53.00,65.00
town_only,CARROT,21,49.52,37.00,40.00,47.00,55.00,68.00
town_only,CARROT,22,51.20,37.00,41.00,49.00,57.00,70.00
town_only,CARROT,23,53.10,37.00,42.00,51.00,59.00,76.00
town_only,CARROT,24,55.61,37.00,43.00,52.00,61.00,85.00
town_only,CARROT,25,58.54,37.00,44.00,53.00,63.00,98.00
town_only,CARROT,26,62.02,37.00,46.00,54.00,65.00,114.00
town_only,CARROT,27,66.12,37.00,47.00,56.00,67.00,135.00
town_only,CARROT,28,70.91,37.00,48.00,57.00,69.00,159.00
town_only,CARROT,29,76.52,37.00,49.00,60.00,71.00,187.00
town_only,TOMATO,0,60.00,60.00,60.00,60.00,60.00,60.00
town_only,TOMATO,1,60.00,60.00,60.00,60.00,60.00,60.00
town_only,TOMATO,2,60.00,60.00,60.00,60.00,60.00,60.00
town_only,TOMATO,3,60.25,60.00,60.00,60.00,61.00,61.00
town_only,TOMATO,4,61.25,61.00,61.00,61.00,62.00,62.00
town_only,TOMATO,5,61.51,61.00,61.00,61.00,63.00,63.00
town_only,TOMATO,6,61.95,61.00,61.00,61.00,64.00,64.00
town_only,TOMATO,7,62.26,61.00,61.00,61.00,65.00,66.00
town_only,TOMATO,8,62.58,61.00,61.00,61.00,65.00,68.00
town_only,TOMATO,9,63.27,61.00,61.00,62.00,66.00,69.00
town_only,TOMATO,10,63.96,61.00,61.00,63.00,67.00,71.00
town_only,TOMATO,11,64.60,61.00,61.00,64.00,68.00,72.00
town_only,TOMATO,12,65.65,62.00,62.00,64.00,69.00,74.00
town_only,TOMATO,13,66.44,62.00,62.00,65.00,70.00,75.00
town_only,TOMATO,14,67.23,62.00,62.00,66.00,70.00,77.00
town_only,TOMATO,15,68.31,62.00,63.00,68.00,72.00,78.00
town_only,TOMATO,16,69.35,62.00,63.00,69.00,74.00,80.00
town_only,TOMATO,17,70.47,62.00,64.00,71.00,75.00,82.00
town_only,TOMATO,18,72.03,62.00,65.00,72.00,77.00,85.00
town_only,TOMATO,19,73.85,62.00,66.00,72.00,78.00,92.00
town_only,TOMATO,20,76.26,63.00,67.00,73.00,80.00,105.00
town_only,TOMATO,21,79.42,63.00,68.00,75.00,81.00,119.00
town_only,TOMATO,22,83.31,63.00,69.00,76.00,83.00,137.00
town_only,TOMATO,23,88.19,63.00,69.00,78.00,85.00,158.00
town_only,TOMATO,24,94.66,63.00,70.00,79.00,94.00,191.00
town_only,TOMATO,25,102.51,63.00,71.00,80.00,101.00,229.00
town_only,TOMATO,26,111.82,63.00,72.00,81.00,109.00,274.00
town_only,TOMATO,27,122.74,63.00,73.00,82.00,124.00,325.00
town_only,TOMATO,28,135.47,63.00,75.00,84.00,143.00,382.00
town_only,TOMATO,29,150.03,64.00,77.00,86.00,165.00,445.00
town_only,STRAWBERRY,0,128.00,128.00,128.00,128.00,128.00,128.00
town_only,STRAWBERRY,1,132.00,132.00,132.00,132.00,132.00,132.00
town_only,STRAWBERRY,2,135.00,135.00,135.00,135.00,135.00,135.00
town_only,STRAWBERRY,3,142.05,137.00,137.00,147.00,147.00,147.00
town_only,STRAWBERRY,4,147.08,139.00,139.00,155.00,155.00,155.00
town_only,STRAWBERRY,5,151.10,141.00,141.00,161.00,161.00,161.00
town_only,STRAWBERRY,6,157.56,142.00,142.00,167.00,171.00,171.00
town_only,STRAWBERRY,7,163.27,144.00,144.00,172.00,179.00,179.00
town_only,STRAWBERRY,8,167.99,145.00,145.00,176.00,187.00,187.00
town_only,STRAWBERRY,9,174.60,147.00,154.00,181.00,193.00,196.00
town_only,STRAWBERRY,10,180.20,148.00,160.00,185.00,199.00,204.00
town_only,STRAWBERRY,11,185.31,149.00,166.00,188.00,205.00,212.00
town_only,STRAWBERRY,12,191.79,150.00,175.00,195.00,210.00,221.00
town_only,STRAWBERRY,13,197.72,151.00,183.00,201.00,215.00,230.00
town_only,STRAWBERRY,14,203.02,153.00,190.00,206.00,220.00,237.00
town_only,STRAWBERRY,15,209.30,159.00,196.00,214.00,226.00,245.00
town_only,STRAWBERRY,16,215.25,165.00,202.00,220.00,232.00,251.00
town_only,STRAWBERRY,17,220.68,170.00,207.00,227.00,238.00,258.00
town_only,STRAWBERRY,18,226.96,179.00,212.00,231.00,245.00,264.00
town_only,STRAWBERRY,19,232.96,186.00,217.00,237.00,252.00,270.00
town_only,STRAWBERRY,20,238.51,193.00,222.00,244.00,259.00,276.00
town_only,STRAWBERRY,21,244.83,196.00,228.00,248.00,265.00,284.00
town_only,STRAWBERRY,22,250.76,199.00,234.00,255.00,271.00,292.00
town_only,STRAWBERRY,23,256.49,202.00,240.00,260.00,277.00,299.00
town_only,STRAWBERRY,24,262.59,208.00,245.00,266.00,284.00,305.00
town_only,STRAWBERRY,25,268.54,213.00,251.00,272.00,290.00,312.00
town_only,STRAWBERRY,26,274.16,218.00,256.00,277.00,296.00,320.00
town_only,STRAWBERRY,27,279.70,222.00,261.00,283.00,302.00,325.00
town_only,STRAWBERRY,28,285.00,227.00,265.00,288.00,308.00,332.00
town_only,STRAWBERRY,29,290.13,231.00,270.00,293.00,314.00,339.00
town_only,MELON,0,256.00,256.00,256.00,256.00,256.00,256.00
town_only,MELON,1,260.00,260.00,260.00,260.00,260.00,260.00
town_only,MELON,2,262.00,262.00,262.00,262.00,262.00,262.00
town_only,MELON,3,264.00,264.00,264.00,264.00,264.00,264.00
town_only,MELON,4,266.00,266.00,266.00,266.00,266.00,266.00
town_only,MELON,5,267.00,267.00,267.00,267.00,267.00,267.00
town_only,MELON,6,268.00,268.00,268.00,268.00,268.00,268.00
town_only,MELON,7,269.00,269.00,269.00,269.00,269.00,269.00
town_only,MELON,8,270.00,270.00,270.00,270.00,270.00,270.00
town_only,MELON,9,271.00,271.00,271.00,271.00,271.00,271.00
town_only,MELON,10,272.00,272.00,272.00,272.00,272.00,272.00
town_only,MELON,11,272.00,272.00,272.00,272.00,272.00,272.00
town_only,MELON,12,273.00,273.00,273.00,273.00,273.00,273.00
town_only,MELON,13,274.00,274.00,274.00,274.00,274.00,274.00
town_only,MELON,14,274.00,274.00,274.00,274.00,274.00,274.00
town_only,MELON,15,275.00,275.00,275.00,275.00,275.00,275.00
town_only,MELON,16,275.00,275.00,275.00,275.00,275.00,275.00
town_only,MELON,17,276.00,276.00,276.00,276.00,276.00,276.00
town_only,MELON,18,276.00,276.00,276.00,276.00,276.00,276.00
town_only,MELON,19,277.00,277.00,277.00,277.00,277.00,277.00
town_only,MELON,20,277.00,277.00,277.00,277.00,277.00,277.00
town_only,MELON,21,277.00,277.00,277.00,277.00,277.00,277.00
town_only,MELON,22,278.00,278.00,278.00,278.00,278.00,278.00
town_only,MELON,23,278.00,278.00,278.00,278.00,278.00,278.00
town_only,MELON,24,279.00,279.00,279.00,279.00,279.00,279.00
town_only,MELON,25,279.00,279.00,279.00,279.00,279.00,279.00
town_only,MELON,26,279.00,279.00,279.00,279.00,279.00,279.00
town_only,MELON,27,280.00,280.00,280.00,280.00,280.00,280.00
town_only,MELON,28,280.00,280.00,280.00,280.00,280.00,280.00
town_only,MELON,29,280.00,280.00,280.00,280.00,280.00,280.00
town_only,EGG,0,50.00,50.00,50.00,50.00,50.00,50.00
town_only,EGG,1,50.00,50.00,50.00,50.00,50.00,50.00
town_only,EGG,2,50.00,50.00,50.00,50.00,50.00,50.00
town_only,EGG,3,50.25,50.00,50.00,50.00,51.00,51.00
town_only,EGG,4,50.25,50.00,50.00,50.00,51.00,51.00
town_only,EGG,5,50.25,50.00,50.00,50.00,51.00,51.00
town_only,EGG,6,50.69,50.00,50.00,50.00,52.00,52.00
town_only,EGG,7,50.75,50.00,50.00,50.00,52.00,53.00
town_only,EGG,8,51.75,51.00,51.00,51.00,53.00,54.00
town_only,EGG,9,51.81,51.00,51.00,51.00,53.00,55.00
town_only,EGG,10,52.06,51.00,51.00,51.00,54.00,55.00
town_only,EGG,11,52.50,51.00,51.00,52.00,54.00,56.00
town_only,EGG,12,52.76,51.00,51.00,52.00,54.00,57.00
town_only,EGG,13,53.39,51.00,51.00,53.00,55.00,58.00
town_only,EGG,14,53.52,51.00,51.00,53.00,55.00,58.00
town_only,EGG,15,54.08,51.00,51.00,53.00,56.00,59.00
town_only,EGG,16,54.72,51.00,52.00,54.00,57.00,60.00
town_only,EGG,17,55.12,51.00,52.00,54.00,58.00,62.00
town_only,EGG,18,55.78,51.00,53.00,55.00,58.00,63.00
town_only,EGG,19,56.23,51.00,53.00,56.00,59.00,64.00
town_only,EGG,20,56.96,51.00,53.00,57.00,60.00,65.00
town_only,EGG,21,57.63,51.00,54.00,57.00,61.00,67.00
town_only,EGG,22,58.27,51.00,54.00,58.00,62.00,68.00
town_only,EGG,23,59.17,51.00,55.00,59.00,62.00,69.00
town_only,EGG,24,60.17,52.00,55.00,59.00,64.00,70.00
town_only,EGG,25,61.31,52.00,56.00,60.00,65.00,73.00
town_only,EGG,26,62.54,52.00,56.00,60.00,66.00,78.00
town_only,EGG,27,63.98,52.00,57.00,61.00,67.00,84.00
town_only,EGG,28,65.77,52.00,58.00,62.00,68.00,92.00
town_only,EGG,29,67.67,52.00,58.00,63.00,69.00,102.00
town_only,MILK,0,169.00,169.00,169.00,169.00,169.00,169.00
town_only,MILK,1,172.00,172.00,172.00,172.00,172.00,172.00
town_only,MILK,2,175.00,175.00,175.00,175.00,175.00,175.00
town_only,MILK,3,180.76,177.00,177.00,177.00,187.00,187.00
town_only,MILK,4,185.39,179.00,179.00,179.00,196.00,196.00
town_only,MILK,5,189.27,181.00,181.00,181.00,203.00,203.00
town_only,MILK,6,194.95,183.00,183.00,191.00,208.00,213.00
town_only,MILK,7,200.12,185.00,185.00,199.00,214.00,221.00
town_only,MILK,8,203.96,186.00,186.00,205.00,218.00,229.00
town_only,MILK,9,209.86,187.00,195.00,211.00,223.00,239.00
town_only,MILK,10,214.95,189.00,202.00,216.00,227.00,247.00
town_only,MILK,11,219.51,190.00,208.00,220.00,231.00,255.00
town_only,MILK,12,224.95,191.00,213.00,228.00,240.00,262.00
town_only,MILK,13,230.21,193.00,218.00,235.00,249.00,269.00
town_only,MILK,14,234.93,194.00,222.00,241.00,256.00,276.00
town_only,MILK,15,240.67,195.00,226.00,244.00,261.00,282.00
town_only,MILK,16,245.73,196.00,230.00,247.00,266.00,287.00
town_only,MILK,17,250.69,197.00,234.00,250.00,271.00,293.00
town_only,MILK,18,256.33,198.00,240.00,258.00,277.00,300.00
town_only,MILK,19,261.58,199.00,246.00,265.00,283.00,306.00
town_only,MILK,20,266.67,200.00,252.00,272.00,289.00,313.00
town_only,MILK,21,272.19,206.00,254.00,276.00,294.00,319.00
town_only,MILK,22,277.28,211.00,257.00,280.00,299.00,325.00
town_only,MILK,23,282.40,216.00,260.00,284.00,304.00,330.00
town_only,MILK,24,287.95,221.00,267.00,292.00,312.00,338.00
town_only,MILK,25,293.24,225.00,271.00,297.00,318.00,345.00
town_only,MILK,26,298.29,229.00,274.00,300.00,323.00,350.00
town_only,MILK,27,303.29,233.00,280.00,305.00,329.00,357.00
town_only,MILK,28,307.92,236.00,286.00,310.00,334.00,364.00
town_only,MILK,29,312.56,240.00,291.00,315.00,339.00,371.00
town_only,WOOL,0,206.00,206.00,206.00,206.00,206.00,206.00
town_only,WOOL,1,209.00,209.00,209.00,209.00,209.00,209.00
town_only,WOOL,2,212.00,212.00,212.00,212.00,212.00,212.00
town_only,WOOL,3,215.22,214.00,214.00,214.00,214.00,224.00
town_only,WOOL,4,216.71,215.00,215.00,215.00,215.00,229.00
town_only,WOOL,5,218.83,217.00,217.00,217.00,217.00,232.00
town_only,WOOL,6,220.96,218.00,218.00,218.00,218.00,235.00
town_only,WOOL,7,222.33,219.00,219.00,219.00,219.00,236.00
town_only,WOOL,8,223.67,220.00,220.00,220.00,220.00,238.00
town_only,WOOL,9,225.42,221.00,221.00,221.00,227.00,239.00
town_only,WOOL,10,226.17,221.00,221.00,221.00,231.00,240.00
town_only,WOOL,11,227.28,222.00,222.00,222.00,233.00,241.00
town_only,WOOL,12,228.86,223.00,223.00,223.00,235.00,243.00
town_only,WOOL,13,229.55,223.00,223.00,223.00,237.00,244.00
town_only,WOOL,14,230.74,224.00,224.00,224.00,238.00,245.00
town_only,WOOL,15,231.67,224.00,224.00,224.00,241.00,246.00
town_only,WOOL,16,232.82,225.00,225.00,225.00,242.00,247.00
town_only,WOOL,17,233.40,225.00,225.00,225.00,244.00,248.00
town_only,WOOL,18,234.63,226.00,226.00,230.00,244.00,249.00
town_only,WOOL,19,235.28,226.00,226.00,233.00,245.00,250.00
town_only,WOOL,20,236.36,227.00,227.00,235.00,246.00,250.00
town_only,WOOL,21,236.98,227.00,227.00,237.00,246.00,251.00
town_only,WOOL,22,237.61,227.00,227.00,238.00,247.00,251.00
town_only,WOOL,23,238.50,228.00,228.00,239.00,247.00,252.00
town_only,WOOL,24,239.19,228.00,228.00,241.00,247.00,253.00
town_only,WOOL,25,239.76,228.00,228.00,243.00,248.00,253.00
town_only,WOOL,26,240.58,229.00,229.00,244.00,248.00,254.00
town_only,WOOL,27,241.13,229.00,229.00,245.00,249.00,254.00
town_only,WOOL,28,241.48,229.00,229.00,245.00,250.00,255.00
town_only,WOOL,29,241.73,229.00,229.00,246.00,250.00,255.00
town_only,FERTILIZER,0,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,1,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,2,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,3,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,4,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,5,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,6,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,7,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,8,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,9,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,10,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,11,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,12,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,13,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,14,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,15,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,16,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,17,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,18,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,19,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,20,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,21,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,22,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,23,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,24,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,25,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,26,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,27,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,28,100.00,100.00,100.00,100.00,100.00,100.00
town_only,FERTILIZER,29,100.00,100.00,100.00,100.00,100.00,100.00
single_player,WHEAT,0,23.00,23.00,23.00,23.00,23.00,23.00
single_player,WHEAT,1,23.00,23.00,23.00,23.00,23.00,23.00
single_player,WHEAT,2,22.00,22.00,22.00,22.00,22.00,22.00
single_player,WHEAT,3,22.00,22.00,22.00,22.00,22.00,22.00
single_player,WHEAT,4,22.00,22.00,22.00,22.00,22.00,22.00
single_player,WHEAT,5,22.00,22.00,22.00,22.00,22.00,22.00
single_player,WHEAT,6,22.00,22.00,22.00,22.00,22.00,22.00
single_player,WHEAT,7,21.86,21.00,22.00,22.00,22.00,22.00
single_player,WHEAT,8,21.86,21.00,22.00,22.00,22.00,22.00
single_player,WHEAT,9,22.02,21.00,22.00,22.00,22.00,23.00
single_player,WHEAT,10,22.02,21.00,22.00,22.00,22.00,23.00
single_player,WHEAT,11,22.66,21.00,22.00,22.00,23.00,25.00
single_player,WHEAT,12,23.55,21.00,22.00,22.00,23.00,29.00
single_player,WHEAT,13,24.08,21.00,22.00,22.00,25.00,30.00
single_player,WHEAT,14,24.83,21.00,22.00,22.00,28.00,32.00
single_player,WHEAT,15,25.71,21.00,22.00,23.00,30.00,33.00
single_player,WHEAT,16,26.75,21.00,22.00,27.00,31.00,34.00
single_player,WHEAT,17,27.41,21.00,22.00,29.00,32.00,35.00
single_player,WHEAT,18,28.60,21.00,22.00,30.00,33.00,37.00
single_player,WHEAT,19,29.47,21.00,23.00,31.00,34.00,38.00
single_player,WHEAT,20,30.50,21.00,23.00,32.00,35.00,39.00
single_player,WHEAT,21,31.50,21.00,27.00,33.00,36.00,40.00
single_player,WHEAT,22,32.60,21.00,30.00,34.00,37.00,41.00
single_player,WHEAT,23,33.30,21.00,31.00,35.00,38.00,41.00
single_player,WHEAT,24,34.52,21.00,32.00,36.00,39.00,42.00
single_player,WHEAT,25,35.40,22.00,33.00,37.00,40.00,43.00
single_player,WHEAT,26,36.43,22.00,34.00,38.00,41.00,44.00
single_player,WHEAT,27,37.17,22.00,35.00,39.00,42.00,45.00
single_player,WHEAT,28,38.09,22.00,36.00,40.00,42.00,46.00
single_player,WHEAT,29,38.68,23.00,36.00,40.00,43.00,47.00
single_player,CARROT,0,33.00,33.00,33.00,33.00,33.00,33.00
single_player,CARROT,1,33.00,33.00,33.00,33.00,33.00,33.00
single_player,CARROT,2,32.00,32.00,32.00,32.00,32.00,32.00
single_player,CARROT,3,32.50,32.00,32.00,32.00,33.00,35.00
single_player,CARROT,4,32.13,31.00,31.00,31.00,35.00,36.00
single_player,CARROT,5,32.26,31.00,31.00,31.00,35.00,37.00
single_player,CARROT,6,32.83,31.00,31.00,31.00,36.00,38.00
single_player,CARROT,7,32.71,30.00,30.00,30.00,36.00,38.00
single_player,CARROT,8,33.08,30.00,30.00,30.00,36.00,39.00
single_player,CARROT,9,33.74,30.00,30.00,32.00,37.00,40.00
single_player,CARROT,10,34.38,30.00,30.00,35.00,38.00,42.00
single_player,CARROT,11,34.44,29.00,29.00,36.00,39.00,43.00
single_player,CARROT,12,35.22,29.00,29.00,36.00,40.00,45.00
single_player,CARROT,13,35.89,29.00,29.00,37.00,40.00,47.00
single_player,CARROT,14,36.59,29.00,29.00,37.00,41.00,48.00
single_player,CARROT,15,37.28,28.00,29.00,37.00,42.00,50.00
single_player,CARROT,16,38.07,28.00,30.00,38.00,44.00,52.00
single_player,CARROT,17,39.00,28.00,30.00,39.00,45.00,55.00
single_player,CARROT,18,40.01,28.00,31.00,40.00,47.00,56.00
single_player,CARROT,19,40.97,28.00,31.00,40.00,48.00,58.00
single_player,CARROT,20,42.01,28.00,32.00,42.00,49.00,60.00
single_player,CARROT,21,43.13,27.00,35.00,42.00,50.00,62.00
single_player,CARROT,22,44.43,27.00,36.00,44.00,52.00,65.00
single_player,CARROT,23,45.82,27.00,37.00,45.00,54.00,68.00
single_player,CARROT,24,47.64,27.00,38.00,46.00,55.00,70.00
single_player,CARROT,25,49.63,27.00,38.00,47.00,57.00,75.00
single_player,CARROT,26,51.93,27.00,39.00,48.00,59.00,83.00
single_player,CARROT,27,54.48,26.00,40.00,49.00,61.00,94.00
single_player,CARROT,28,57.54,26.00,41.00,51.00,62.00,108.00
single_player,CARROT,29,61.11,26.00,42.00,53.00,64.00,125.00
single_player,TOMATO,0,57.00,57.00,57.00,57.00,57.00,57.00
single_player,TOMATO,1,56.00,56.00,56.00,56.00,56.00,56.00
single_player,TOMATO,2,56.00,56.00,56.00,56.00,56.00,56.00
single_player,TOMATO,3,56.27,55.00,55.00,55.00,60.00,60.00
single_player,TOMATO,4,55.78,54.00,54.00,54.00,61.00,61.00
single_player,TOMATO,5,55.78,54.00,54.00,54.00,61.00,61.00
single_player,TOMATO,6,56.10,53.00,53.00,53.00,62.00,63.00
single_player,TOMATO,7,56.91,53.00,53.00,53.00,63.00,64.00
single_player,TOMATO,8,56.60,52.00,52.00,52.00,63.00,65.00
single_player,TOMATO,9,57.57,52.00,52.00,55.00,64.00,67.00
single_player,TOMATO,10,58.48,52.00,52.00,60.00,64.00,68.00
single_player,TOMATO,11,58.67,51.00,51.00,61.00,65.00,69.00
single_player,TOMATO,12,59.38,51.00,51.00,61.00,66.00,71.00
single_player,TOMATO,13,60.03,50.00,50.00,62.00,66.00,72.00
single_player,TOMATO,14,61.13,50.00,50.00,63.00,67.00,73.00
single_player,TOMATO,15,61.92,50.00,52.00,64.00,68.00,75.00
single_player,TOMATO,16,62.96,50.00,54.00,65.00,69.00,76.00
single_player,TOMATO,17,63.90,49.00,60.00,66.00,71.00,77.00
single_player,TOMATO,18,65.10,49.00,61.00,67.00,72.00,80.00
single_player,TOMATO,19,66.38,49.00,61.00,68.00,73.00,83.00
single_player,TOMATO,20,67.62,48.00,62.00,68.00,75.00,86.00
single_player,TOMATO,21,69.79,48.00,62.00,70.00,76.00,92.00
single_player,TOMATO,22,72.06,48.00,63.00,71.00,77.00,100.00
single_player,TOMATO,23,74.84,48.00,64.00,72.00,79.00,111.00
single_player,TOMATO,24,78.53,47.00,64.00,73.00,82.00,131.00
single_player,TOMATO,25,83.07,47.00,65.00,73.00,84.00,155.00
single_player,TOMATO,26,88.53,47.00,65.00,74.00,85.00,185.00
single_player,TOMATO,27,95.08,47.00,67.00,75.00,90.00,220.00
single_player,TOMATO,28,102.64,46.00,68.00,77.00,97.00,259.00
single_player,TOMATO,29,111.41,46.00,69.00,78.00,107.00,304.00
single_player,STRAWBERRY,0,118.00,118.00,118.00,118.00,118.00,118.00
single_player,STRAWBERRY,1,116.00,116.00,116.00,116.00,116.00,116.00
single_player,STRAWBERRY,2,114.00,114.00,114.00,114.00,114.00,114.00
single_player,STRAWBERRY,3,122.10,112.00,112.00,132.00,132.00,132.00
single_player,STRAWBERRY,4,126.16,110.00,110.00,142.00,142.00,142.00
single_player,STRAWBERRY,5,128.71,108.00,108.00,149.00,149.00,149.00
single_player,STRAWBERRY,6,135.14,107.00,107.00,155.00,160.00,160.00
single_player,STRAWBERRY,7,142.49,105.00,105.00,159.00,169.00,169.00
single_player,STRAWBERRY,8,146.93,103.00,103.00,164.00,176.00,176.00
single_player,STRAWBERRY,9,153.76,101.00,112.00,168.00,183.00,186.00
single_player,STRAWBERRY,10,160.45,99.00,128.00,171.00,189.00,195.00
single_player,STRAWBERRY,11,165.79,97.00,141.00,174.00,194.00,202.00
single_player,STRAWBERRY,12,173.01,95.00,155.00,181.00,199.00,212.00
single_player,STRAWBERRY,13,178.93,93.00,164.00,187.00,204.00,220.00
single_player,STRAWBERRY,14,184.93,91.00,172.00,193.00,208.00,228.00
single_player,STRAWBERRY,15,192.05,101.00,179.00,201.00,215.00,235.00
single_player,STRAWBERRY,16,198.25,110.00,186.00,208.00,221.00,242.00
single_player,STRAWBERRY,17,203.80,120.00,191.00,214.00,227.00,248.00
single_player,STRAWBERRY,18,211.00,148.00,197.00,218.00,234.00,255.00
single_player,STRAWBERRY,19,217.10,159.00,201.00,224.00,241.00,261.00
single_player,STRAWBERRY,20,222.96,168.00,206.00,232.00,248.00,266.00
single_player,STRAWBERRY,21,229.66,172.00,213.00,235.00,254.00,274.00
single_player,STRAWBERRY,22,235.78,175.00,219.00,242.00,260.00,282.00
single_player,STRAWBERRY,23,241.62,178.00,225.00,247.00,265.00,290.00
single_player,STRAWBERRY,24,248.09,185.00,230.00,253.00,272.00,296.00
single_player,STRAWBERRY,25,254.28,190.00,236.00,259.00,279.00,302.00
single_player,STRAWBERRY,26,260.03,196.00,241.00,265.00,285.00,310.00
single_player,STRAWBERRY,27,265.61,201.00,246.00,270.00,291.00,316.00
