seed,opponent,seat,step,day,hour,available_workers,opening_cash,closing_cash,actions:WEST,NW:empty,shed:WHEAT,shed:CARROT,shed:TOMATO,shed:STRAWBERRY,shed:MELON,shed:EGG,shed:MILK,shed:WOOL,shed:FERTILIZER,shed:GOOSE,shed:COW,shed:SHEEP,actions:BUILD_PASTURE,actions:NORTH,actions:EAST,NW:other:PASTURE,actions:PICKUP,actions:SOUTH,actions:PLANT,carried:COW,actions:PLACE,actions:WATER,NW:crop:WHEAT,NW:yield_present:WHEAT,NW:yield_units:WHEAT,NW:unwatered,NW:animal:COW,NW:unfed,NW:crop:MELON,NW:yield_present:MELON,NW:yield_units:MELON,carried:WHEAT,actions:CARE,actions:FEED,actions:PASS,actions:COLLECT_FERTILIZER,carried:FERTILIZER,NW:mature:WHEAT,NW:mature_units:WHEAT,NW:crop:TOMATO,actions:HARVEST,NE:empty,NE:crop:CARROT,NE:yield_present:CARROT,NE:yield_units:CARROT,NE:unwatered,NE:crop:TOMATO,NE:crop:WHEAT,NE:yield_present:WHEAT,NE:yield_units:WHEAT,NE:crop:STRAWBERRY,NE:mature:WHEAT,NE:mature_units:WHEAT,NE:mature:CARROT,NE:mature_units:CARROT,carried:MILK,carried:CARROT,NE:other:PASTURE,carried:SHEEP,NW:mature:MELON,NW:mature_units:MELON,carried:MELON,NW:crop:CARROT,NW:yield_present:CARROT,NW:yield_units:CARROT,actions:FERTILIZE,NW:animal:SHEEP,NW:yield_present:TOMATO,NW:yield_units:TOMATO,NW:mature:TOMATO,NW:mature_units:TOMATO,NE:animal:SHEEP,NE:unfed,NE:animal:COW,NW:mature:CARROT,NW:mature_units:CARROT,NW:crop:STRAWBERRY,carried:TOMATO,NE:yield_present:TOMATO,NE:yield_units:TOMATO,NE:mature:TOMATO,NE:mature_units:TOMATO,NE:crop:MELON,NE:yield_present:MELON,NE:yield_units:MELON,NW:other:WEED,actions:DIG,NE:yield_present:STRAWBERRY,NE:yield_units:STRAWBERRY,NE:mature:STRAWBERRY,NE:mature_units:STRAWBERRY,carried:STRAWBERRY,carried:WOOL,NE:other:WEED,NW:yield_present:STRAWBERRY,NW:yield_units:STRAWBERRY,NW:mature:STRAWBERRY,NW:mature_units:STRAWBERRY,NE:mature:MELON,NE:mature_units:MELON,actions:DROP
96401,cow_milk_engine,0,10,0,10,5,937.0,937.0,,17,7,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,2,1,1,1,5,5,5,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,11,0,11,5,937.0,411.0,1,15,7,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,2,6,6,6,2,2,1,2,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,12,0,12,5,411.0,411.0,2,15,25,0,0,0,0,0,0,0,0,0,0,0,,1,,,1,,1,,,,6,6,6,,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,13,0,13,5,411.0,853.0,,14,24,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,2,,,1,7,7,7,1,2,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,14,0,14,5,853.0,824.0,,12,9,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,,2,7,7,7,2,2,1,4,4,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,15,0,15,5,824.0,824.0,,12,10,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,2,,,,7,7,7,,2,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,16,0,16,5,824.0,824.0,,10,10,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,2,,,2,7,7,7,2,2,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,17,0,17,5,824.0,881.0,1,8,10,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,,2,7,7,7,2,2,,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,18,0,18,5,881.0,824.0,,8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,7,7,,2,,8,8,8,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,19,0,19,5,824.0,824.0,,8,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,7,7,,2,,8,8,8,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,20,0,20,5,824.0,824.0,,8,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,7,7,,2,,8,8,8,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,21,0,21,5,824.0,881.0,,8,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,7,7,,2,,8,8,8,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,22,0,22,5,881.0,824.0,,8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,7,7,,2,,8,8,8,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,23,0,23,5,824.0,824.0,,8,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,7,7,7,,2,,8,8,8,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,24,1,0,1,824.0,817.0,,8,10,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,7,7,7,15,2,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,25,1,1,5,817.0,817.0,2,8,8,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,7,7,7,15,2,2,8,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,26,1,2,5,817.0,759.0,2,8,8,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,7,7,7,15,2,2,8,8,8,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,27,1,3,5,759.0,759.0,2,8,10,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,7,7,7,15,2,2,8,8,8,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,28,1,4,5,759.0,759.0,1,8,10,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,,7,7,7,15,2,1,8,8,8,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,29,1,5,5,759.0,817.0,1,8,10,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,,7,7,7,15,2,1,8,8,8,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,30,1,6,5,817.0,759.0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,1,,,,7,7,7,15,2,1,8,8,8,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,31,1,7,5,759.0,759.0,1,7,10,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,1,,,1,7,7,7,16,2,1,9,9,9,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,32,1,8,5,759.0,759.0,3,6,10,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,1,7,7,7,16,2,1,10,10,10,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,33,1,9,5,759.0,817.0,3,6,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,,,,1,7,7,7,15,2,1,10,10,10,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,34,1,10,5,817.0,759.0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,2,,,,7,7,7,14,2,1,10,10,10,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,35,1,11,5,759.0,759.0,1,4,10,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,3,7,7,7,16,2,1,12,12,12,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,36,1,12,5,759.0,759.0,,4,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,3,1,,,1,7,7,7,13,2,1,12,12,12,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,37,1,13,5,759.0,817.0,,3,10,0,0,0,0,0,0,0,0,0,0,0,,1,,,,3,,,,1,8,8,8,13,2,1,12,12,12,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,38,1,14,5,817.0,759.0,,3,8,0,0,0,0,0,0,0,0,0,0,0,,,4,,,,,,,1,8,8,8,12,2,1,12,12,12,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,39,1,15,5,759.0,759.0,,3,10,0,0,0,0,0,0,0,0,0,0,0,,1,4,,,,,,,,8,8,8,11,2,1,12,12,12,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,40,1,16,5,759.0,759.0,,3,10,0,0,0,0,0,0,0,0,0,0,0,,1,2,,,,,,,2,8,8,8,11,2,1,12,12,12,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,41,1,17,5,759.0,817.0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,,1,2,,,,,,,1,8,8,8,9,2,1,12,12,12,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,42,1,18,5,817.0,759.0,,3,8,0,0,0,0,0,0,0,0,0,0,0,,1,,,,1,,,,2,8,8,8,8,2,1,12,12,12,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,43,1,19,5,759.0,759.0,,3,10,0,0,0,0,0,0,0,0,0,0,0,,1,,,,3,,,,1,8,8,8,6,2,,12,12,12,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,44,1,20,5,759.0,759.0,2,3,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,,,1,8,8,8,5,2,,12,12,12,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,45,1,21,5,759.0,817.0,1,3,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,,,,2,8,8,8,4,2,,12,12,12,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,46,1,22,5,817.0,759.0,2,3,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,8,8,2,2,,12,12,12,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,47,1,23,5,759.0,759.0,,3,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,8,8,8,2,2,,12,12,12,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,48,2,0,1,759.0,392.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,,,,1,,,,,,8,8,8,20,2,2,12,12,12,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,49,2,1,5,392.0,392.0,1,3,8,0,0,0,0,0,0,0,2,0,0,0,,4,,,,,,,,,8,8,8,20,2,2,12,12,12,2,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,50,2,2,5,392.0,314.0,2,3,8,0,0,0,0,0,0,0,2,0,0,0,,1,,,,,,,,,8,8,8,20,2,2,12,12,12,2,,,,2,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,51,2,3,5,314.0,314.0,2,3,10,0,0,0,0,0,0,0,2,0,0,0,,1,,,,,,,,,8,8,8,20,2,2,12,12,12,2,1,1,,,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,52,2,4,5,314.0,314.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,2,,,,,,,,2,8,8,8,20,2,1,12,12,12,1,1,,,,2,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,53,2,5,5,314.0,372.0,4,3,10,0,0,0,0,0,0,0,2,0,0,0,,1,,,,,,,,,8,8,10,18,2,1,12,12,12,1,,,,,2,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,54,2,6,5,372.0,314.0,3,3,8,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,2,8,8,10,18,2,1,12,12,12,1,,,,,2,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,55,2,7,5,314.0,314.0,1,3,10,0,0,0,0,0,0,0,2,0,0,0,,1,1,,,,,,,2,8,8,12,16,2,1,12,12,12,1,,,,,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,56,2,8,5,314.0,314.0,1,3,10,0,0,0,0,0,0,0,2,0,0,0,,2,1,,,,,,,1,8,8,14,14,2,1,12,12,12,1,,,,,2,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,57,2,9,5,314.0,372.0,2,3,10,0,0,0,0,0,0,0,2,0,0,0,,1,,,,,,,,1,8,8,14,13,2,1,12,12,12,1,,1,,,2,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,58,2,10,5,372.0,314.0,1,3,8,0,0,0,0,0,0,0,2,0,0,0,,1,,,,1,,,,2,8,8,15,12,2,,12,12,12,,,,,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,59,2,11,5,314.0,314.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,3,,,,,,,,2,8,8,15,10,2,,12,12,12,,,,,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,60,2,12,5,314.0,314.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,3,1,,,,,,,1,8,8,15,8,2,,12,12,12,,,,,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,61,2,13,5,314.0,372.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,1,,,,1,,,,3,8,8,15,7,2,,12,12,12,,,,,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,62,2,14,5,372.0,314.0,,3,8,0,0,0,0,0,0,0,2,0,0,0,,,2,,,2,,,,,8,8,15,4,2,,12,12,12,,,,1,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,63,2,15,5,314.0,314.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,4,8,8,15,4,2,,12,12,12,,,,1,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,64,2,16,5,314.0,314.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,8,8,15,,2,,12,12,12,,,,5,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,65,2,17,5,314.0,372.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,8,8,15,,2,,12,12,12,,,,5,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,66,2,18,5,372.0,314.0,,3,8,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,8,8,15,,2,,12,12,12,,,,5,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,67,2,19,5,314.0,314.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,8,8,15,,2,,12,12,12,,,,5,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,68,2,20,5,314.0,314.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,8,8,15,,2,,12,12,12,,,,5,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,69,2,21,5,314.0,572.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,,,,,,,,,,8,8,15,,2,,12,12,12,,,,5,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,70,2,22,5,572.0,354.0,,3,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,8,15,,2,,12,12,12,,,,5,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,71,2,23,5,354.0,314.0,,3,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,8,15,,2,,12,12,12,,,,5,,2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,cow_milk_engine,0,72,3,0,1,314.0,307.0,,3,10,0,0,0,0,0,0,0,2,0,0,0,,,,,1,,,,,,8,8,15,20,2,2,12,12,12,,,,,,,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
